episode,total_reward,length,success,wall_hits
0,-11.359999999999964,200,0,104
1,-11.62999999999996,200,0,107
2,-10.729999999999963,200,0,97
3,-11.089999999999963,200,0,101
4,-11.179999999999962,200,0,102
5,-10.279999999999966,200,0,92
6,-11.17999999999996,200,0,102
7,-10.189999999999964,200,0,91
8,-9.919999999999966,200,0,88
9,-10.189999999999966,200,0,91
10,-10.009999999999962,200,0,89
11,-10.459999999999962,200,0,94
12,-10.999999999999961,200,0,100
13,-11.629999999999962,200,0,107
14,-9.919999999999966,200,0,88
15,-10.459999999999965,200,0,94
16,-10.279999999999962,200,0,92
17,-10.999999999999964,200,0,100
18,-12.34999999999996,200,0,115
19,-10.549999999999963,200,0,95
20,-10.549999999999963,200,0,95
21,-10.279999999999964,200,0,92
22,-4.74999999999999,108,1,52
23,-10.909999999999965,200,0,99
24,-10.999999999999963,200,0,100
25,-10.729999999999965,200,0,97
26,-11.269999999999962,200,0,103
27,-10.009999999999964,200,0,89
28,-10.189999999999964,200,0,91
29,-11.179999999999962,200,0,102
30,-9.919999999999964,200,0,88
31,-10.009999999999964,200,0,89
32,-10.909999999999963,200,0,99
33,-10.999999999999963,200,0,100
34,-10.459999999999965,200,0,94
35,-7.009999999999975,154,1,72
36,-11.62999999999996,200,0,107
37,-9.739999999999966,200,0,86
38,-10.009999999999964,200,0,89
39,-8.069999999999974,170,1,82
40,-10.189999999999964,200,0,91
41,-11.35999999999996,200,0,104
42,-10.999999999999963,200,0,100
43,-10.729999999999963,200,0,97
44,-10.549999999999963,200,0,95
45,-10.279999999999964,200,0,92
46,-10.099999999999966,200,0,90
47,-10.099999999999964,200,0,90
48,-9.379999999999967,200,0,82
49,-9.829999999999965,200,0,87
50,-10.369999999999964,200,0,93
51,-10.729999999999963,200,0,97
52,-11.629999999999962,200,0,107
53,-11.899999999999961,200,0,110
54,-11.179999999999964,200,0,102
55,-9.559999999999965,200,0,84
56,-10.549999999999963,200,0,95
57,-11.629999999999962,200,0,107
58,-10.459999999999964,200,0,94
59,-10.279999999999964,200,0,92
60,-11.359999999999962,200,0,104
61,-11.809999999999961,200,0,109
62,-11.449999999999962,200,0,105
63,-10.999999999999963,200,0,100
64,-9.919999999999966,200,0,88
65,-10.099999999999966,200,0,90
66,-11.269999999999962,200,0,103
67,-10.459999999999964,200,0,94
68,-9.449999999999964,200,1,94
69,-10.099999999999964,200,0,90
70,-10.909999999999965,200,0,99
71,-10.909999999999965,200,0,99
72,-12.529999999999959,200,0,117
73,-10.369999999999965,200,0,93
74,-10.369999999999964,200,0,93
75,-10.639999999999965,200,0,96
76,-10.099999999999964,200,0,90
77,-10.999999999999961,200,0,100
78,-10.999999999999963,200,0,100
79,-10.189999999999966,200,0,91
80,-10.009999999999966,200,0,89
81,-10.189999999999966,200,0,91
82,-10.009999999999966,200,0,89
83,-11.89999999999996,200,0,110
84,-10.189999999999966,200,0,91
85,-12.349999999999959,200,0,115
86,-10.909999999999963,200,0,99
87,-10.639999999999965,200,0,96
88,-11.17999999999996,200,0,102
89,-9.649999999999967,200,0,85
90,-10.369999999999964,200,0,93
91,-11.539999999999962,200,0,106
92,-10.009999999999964,200,0,89
93,-11.989999999999961,200,0,111
94,-10.729999999999965,200,0,97
95,-9.199999999999967,200,0,80
96,-9.649999999999967,200,0,85
97,-10.099999999999966,200,0,90
98,-10.819999999999965,200,0,98
99,-11.08999999999996,200,0,101
100,-10.459999999999962,200,0,94
101,-11.269999999999962,200,0,103
102,-11.089999999999963,200,0,101
103,-10.909999999999965,200,0,99
104,-10.099999999999962,200,0,90
105,-10.999999999999963,200,0,100
106,-10.279999999999966,200,0,92
107,-11.719999999999962,200,0,108
108,-9.739999999999963,200,0,86
109,-6.08999999999998,143,1,63
110,-10.369999999999965,200,0,93
111,-9.739999999999965,200,0,86
112,-11.179999999999962,200,0,102
113,-11.80999999999996,200,0,109
114,-10.369999999999964,200,0,93
115,-10.369999999999965,200,0,93
116,-11.989999999999961,200,0,111
117,-10.189999999999964,200,0,91
118,-10.999999999999963,200,0,100
119,-11.539999999999962,200,0,106
120,-9.489999999999965,195,1,95
121,-11.53999999999996,200,0,106
122,-10.279999999999964,200,0,92
123,-11.359999999999964,200,0,104
124,-11.629999999999962,200,0,107
125,-9.649999999999968,200,0,85
126,-10.369999999999965,200,0,93
127,-10.999999999999963,200,0,100
128,-10.549999999999963,200,0,95
129,-11.53999999999996,200,0,106
130,-10.099999999999964,200,0,90
131,-9.289999999999969,200,0,81
132,-11.539999999999962,200,0,106
133,-10.459999999999962,200,0,94
134,-9.029999999999966,194,1,90
135,-10.189999999999964,200,0,91
136,-9.919999999999966,200,0,88
137,-11.53999999999996,200,0,106
138,-10.279999999999964,200,0,92
139,-11.26999999999996,200,0,103
140,-11.269999999999962,200,0,103
141,-10.639999999999963,200,0,96
142,-10.279999999999964,200,0,92
143,-9.829999999999965,200,0,87
144,-9.189999999999968,192,1,92
145,-10.009999999999964,200,0,89
146,-8.839999999999968,200,0,76
147,-10.369999999999964,200,0,93
148,-10.369999999999964,200,0,93
149,-9.109999999999967,200,0,79
150,-11.449999999999964,200,0,105
151,-11.08999999999996,200,0,101
152,-10.549999999999963,200,0,95
153,-10.369999999999964,200,0,93
154,-10.909999999999961,200,0,99
155,-10.369999999999965,200,0,93
156,-10.369999999999965,200,0,93
157,-10.209999999999964,186,1,104
158,-10.819999999999963,200,0,98
159,-12.349999999999962,200,0,115
160,-10.279999999999964,200,0,92
161,-10.549999999999963,200,0,95
162,-12.16999999999996,200,0,113
163,-11.179999999999962,200,0,102
164,-9.289999999999967,200,0,81
165,-11.17999999999996,200,0,102
166,-10.999999999999964,200,0,100
167,-9.829999999999965,200,0,87
168,-10.549999999999965,200,0,95
169,-10.729999999999963,200,0,97
170,-10.999999999999961,200,0,100
171,-11.719999999999962,200,0,108
172,-10.279999999999964,200,0,92
173,-10.819999999999963,200,0,98
174,-11.08999999999996,200,0,101
175,-9.739999999999966,200,0,86
176,-10.279999999999966,200,0,92
177,-11.179999999999962,200,0,102
178,-9.739999999999965,200,0,86
179,-10.549999999999963,200,0,95
180,-8.349999999999964,198,1,82
181,-10.099999999999964,200,0,90
182,-10.459999999999964,200,0,94
183,-9.919999999999964,200,0,88
184,-11.359999999999964,200,0,104
185,-10.729999999999961,200,0,97
186,-11.899999999999961,200,0,110
187,-11.629999999999963,200,0,107
188,-10.369999999999964,200,0,93
189,-10.999999999999963,200,0,100
190,-8.909999999999968,182,1,90
191,-11.269999999999962,200,0,103
192,-11.989999999999961,200,0,111
193,-11.269999999999962,200,0,103
194,-10.909999999999961,200,0,99
195,-10.459999999999964,200,0,94
196,-10.369999999999962,200,0,93
197,-10.999999999999964,200,0,100
198,-11.269999999999962,200,0,103
199,-10.099999999999964,200,0,90
200,-10.819999999999963,200,0,98
201,-10.549999999999963,200,0,95
202,-10.369999999999964,200,0,93
203,-10.819999999999963,200,0,98
204,-7.989999999999975,162,1,82
205,-11.179999999999962,200,0,102
206,-11.80999999999996,200,0,109
207,-10.189999999999964,200,0,91
208,-10.369999999999965,200,0,93
209,-10.549999999999963,200,0,95
210,-10.639999999999963,200,0,96
211,-11.26999999999996,200,0,103
212,-10.459999999999964,200,0,94
213,-10.909999999999965,200,0,99
214,-9.559999999999965,200,0,84
215,-10.819999999999963,200,0,98
