timestamp,window_size,total_timesteps,train_acc,test_acc,gen_gap,train_ratio,test_ratio,seed
2026-06-28 20:49,3,500000,49.3,23.3,26.0,1.033,1.000,42
2026-06-28 22:37,5,500000,57.3,13.3,44.0,1.044,1.100,42
2026-06-28 23:23,7,500000,4.7,0.0,4.7,1.000,0.000,42
2026-06-29 11:00,3,1000000,256x256,72.7,26.7,46.0,1.035,1.077,42
2026-06-29 20:13,3,1000000,256x256,72.7,26.7,46.0,1.035,1.077,42
2026-06-29 21:45,3,500000,256x256,67.3,30.0,37.3,1.044,1.000,42
2026-06-29 22:47,3,1000000,256x256,72.7,26.7,46.0,1.035,1.077,42
2026-07-01 19:38,3,1000000,256x256,80.0,46.7,33.3,1.036,1.029,42
2026-07-01 21:17,3,1000000,256x256,75.3,26.7,48.7,1.026,1.000,42
2026-07-02 15:06,3,1000000,256x256,75.3,26.7,48.7,1.026,1.000,42
2026-07-05 12:35,3,1000000,256x256,41.8,26.0,15.8,1.062,1.103,42
2026-07-11 20:09,3,1000000,256x256,28.9,30.2,-1.3,1.062,1.071,42
2026-07-11 21:25,3,1000000,256x256,28.9,30.2,-1.3,1.062,1.071,42
2026-07-12 11:53,5,1000000,256x256,11.2,8.2,3.0,1.056,1.079,42
